# See https://gitlab.freedesktop.org/mesa/mesa/-/merge_requests/9049
dEQP-VK.pipeline.timestamp.calibrated.calibration_test,Fail
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_geom_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params_preprocess_same_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params_preprocess_same_state_cmd_buffer_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params_preprocess_same_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params_preprocess_same_state_cmd_buffer_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params_preprocess_separate_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params_preprocess_separate_state_cmd_buffer_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params_preprocess_separate_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params_preprocess_separate_state_cmd_buffer_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_check_draw_params_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_preprocess_same_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_preprocess_same_state_cmd_buffer_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_preprocess_same_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_preprocess_same_state_cmd_buffer_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_preprocess_separate_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_preprocess_separate_state_cmd_buffer_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_preprocess_separate_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_preprocess_separate_state_cmd_buffer_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw.shader_objects_with_tess_unordered_simple,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params_preprocess_same_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params_preprocess_same_state_cmd_buffer_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params_preprocess_same_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params_preprocess_same_state_cmd_buffer_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params_preprocess_separate_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params_preprocess_separate_state_cmd_buffer_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params_preprocess_separate_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params_preprocess_separate_state_cmd_buffer_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_check_draw_params_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_preprocess_same_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_preprocess_same_state_cmd_buffer_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_preprocess_same_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_preprocess_same_state_cmd_buffer_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_preprocess_separate_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_preprocess_separate_state_cmd_buffer_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_preprocess_separate_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_preprocess_separate_state_cmd_buffer_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_geom_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params_preprocess_same_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params_preprocess_same_state_cmd_buffer_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params_preprocess_same_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params_preprocess_same_state_cmd_buffer_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params_preprocess_separate_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params_preprocess_separate_state_cmd_buffer_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params_preprocess_separate_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params_preprocess_separate_state_cmd_buffer_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_check_draw_params_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_preprocess_same_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_preprocess_same_state_cmd_buffer_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_preprocess_same_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_preprocess_same_state_cmd_buffer_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_preprocess_separate_state_cmd_buffer,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_preprocess_separate_state_cmd_buffer_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_preprocess_separate_state_cmd_buffer_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_preprocess_separate_state_cmd_buffer_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_unordered,Crash
dEQP-VK.dgc.ext.graphics.draw.token_draw_indexed.shader_objects_with_tess_unordered_dx_index,Crash
dEQP-VK.dgc.ext.graphics.xfb.discard_geom_shader_objects,Crash
dEQP-VK.dgc.ext.graphics.xfb.discard_tess_geom_shader_objects,Crash
dEQP-VK.dgc.ext.graphics.xfb.discard_tess_shader_objects,Crash
dEQP-VK.dgc.ext.graphics.xfb.nodiscard_geom_shader_objects,Crash
dEQP-VK.dgc.ext.graphics.xfb.nodiscard_tess_geom_shader_objects,Crash
dEQP-VK.dgc.ext.graphics.xfb.nodiscard_tess_shader_objects,Crash

# CTS bug https://gerrit.khronos.org/c/vk-gl-cts/+/15975
dEQP-VK.shader_object.binding.swap_frag_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_frag_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_frag_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_frag_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_frag_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_frag_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_frag_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_frag_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_frag_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_frag_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_frag_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_geom_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_geom_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_geom_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_geom_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_geom_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_geom_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_geom_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_geom_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_geom_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_geom_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tesc_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tesc_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tesc_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tesc_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tesc_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tesc_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tesc_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tesc_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tesc_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tesc_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tese_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tese_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tese_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tese_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tese_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tese_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tese_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tese_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tese_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_tese_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_vert_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_vert_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_vert_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_vert_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_vert_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_vert_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_vert_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_vert_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_vert_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_frag_unused_output_vert_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_frag_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_frag_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_frag_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_frag_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_frag_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_frag_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_frag_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_frag_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_frag_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_frag_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_geom_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_geom_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_geom_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_geom_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_geom_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_geom_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_geom_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_geom_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_geom_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_geom_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tesc_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tesc_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tesc_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tesc_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tesc_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tesc_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tesc_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tesc_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tesc_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tesc_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tese_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tese_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tese_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tese_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tese_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tese_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tese_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tese_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tese_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_tese_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_vert_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_vert_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_vert_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_vert_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_vert_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_vert_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_vert_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_vert_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_vert_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_geom_unused_output_vert_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_frag_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_frag_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_frag_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_frag_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_frag_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_frag_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_frag_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_frag_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_frag_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_frag_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_geom_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_geom_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_geom_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_geom_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_geom_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_geom_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_geom_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_geom_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_geom_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_geom_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tesc_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tesc_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tesc_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tesc_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tesc_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tesc_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tesc_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tesc_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tesc_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tesc_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tese_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tese_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tese_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tese_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tese_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tese_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tese_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tese_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tese_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_tese_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_vert_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_vert_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_vert_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_vert_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_vert_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_vert_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_vert_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_vert_binary_tese_before_no_next_stage,Crash
