# Failing since ANGLE exposed geometry shaders in their commit a4c7abcbc1eb
# ("Advertise GL_OES_geometry_shader and GL_EXT_tessellation_shader"):
#
# "Rendered data at (28, 21) equal (0.0980392, 0.2, 0.298039, 0.4) exceeds allowed epsilon when compared to reference data equal (0.5, 0.6, 0.7, 0.8).
#  Data comparison failed at esextcGeometryShaderRendering.cpp:5751"
#
# Also fails, reports no validation failures on my RX Vega.
dEQP-GLES2.functional.fbo.render.color_clear.rbo_bgra_depth_component16_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.stencil_clear.rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.recreate_stencilbuffer.rebind_rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.color_clear.rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.recreate_stencilbuffer.no_rebind_rbo_bgra_depth_component16_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.recreate_colorbuffer.rebind_rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.shared_depthbuffer.rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.recreate_stencilbuffer.no_rebind_rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.resize.rbo_bgra_depth_component16_stencil_index8,Fail
dEQP-GLES3.functional.fbo.completeness.renderable.renderbuffer.stencil.bgra,Fail
dEQP-GLES3.functional.fbo.completeness.renderable.renderbuffer.depth.bgra,Fail
dEQP-GLES2.functional.fbo.render.recreate_colorbuffer.no_rebind_rbo_bgra_depth_component16_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.color.blend_rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.shared_depthbuffer.rbo_bgra_depth_component16_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.shared_colorbuffer.rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.recreate_colorbuffer.rebind_rbo_bgra_depth_component16_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.stencil.npot_rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.color.blend_npot_rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.stencil.rbo_bgra_depth_component16_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.resize.rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.stencil.rbo_bgra_stencil_index8,Fail
dEQP-GLES3.functional.fbo.completeness.renderable.renderbuffer.color0.bgra,Fail
dEQP-GLES2.functional.fbo.render.recreate_stencilbuffer.rebind_rbo_bgra_depth_component16_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.recreate_colorbuffer.rebind_rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.shared_colorbuffer_clear.rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.depth.npot_rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.stencil_clear.rbo_bgra_depth_component16_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.color.blend_rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.color_clear.rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.recreate_depthbuffer.no_rebind_rbo_bgra_depth_component16,Fail

# new with ANGLE 2024-10-17
KHR-GLES31.core.texture_buffer.texture_buffer_max_size,Fail
